Supplier GSTIN,Invoice No (GSTR),Invoice No (Books),Invoice Date (GSTR),Invoice Date (Books),Taxable Value (GSTR),Taxable Value (Books),GST Amount (Books),Amount Difference,Match Status,Match Score,Remarks
24ABKCS2033B1ZV,11129,,13-01-2025,,999.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
24ABKCS2033B1ZV,11652,,13-02-2025,,2699.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
29AABCI2726B1ZY,KA1242503DK97450,,22-03-2025,,2310.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
33AAUCA1846M1Z8,AL-2425-0038,,07-03-2025,,143885.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
19ABRFA1076C1ZG,AFW/2024-25/003,,27-01-2025,,29500.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
19ABRFA1076C1ZG,AFW/2024-25/005,,04-03-2025,,27000.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
24ABKCS2033B1ZV,12238,,12-03-2025,,2699.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
33AAUCA1846M1Z8,AL-2526-0001,,02-04-2025,,165200.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
29AACCT3705E1ZJ,I/O/003699/25-26,,03-04-2025,,885.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
24ABKCS2033B1ZV,12886,,12-04-2025,,2699.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
29AACCA3959R1ZV,SGSBL0SL002811,,07-06-2025,,9612.0,,,,GSTR_ONLY,,Present in GSTR only - Missing in Books
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
,,,,,,0.0,0.0,,BOOKS_ONLY,,Present in Books only - Missing in GSTR
